codigo,aglo,estimacion,periodo,variable,value
12,Corrientes,114000,201403,desvio,3686
12,Corrientes,114000,201403,cv,3.2
12,Corrientes,130000,201403,desvio,3856
12,Corrientes,130000,201403,cv,3
12,Corrientes,146000,201403,desvio,4012
12,Corrientes,146000,201403,cv,2.7
12,Corrientes,162000,201403,desvio,4158
12,Corrientes,162000,201403,cv,2.6
12,Corrientes,178000,201403,desvio,4294
12,Corrientes,178000,201403,cv,2.4
12,Corrientes,194000,201403,desvio,4422
12,Corrientes,194000,201403,cv,2.3
12,Corrientes,210000,201403,desvio,4544
12,Corrientes,210000,201403,cv,2.2
12,Corrientes,226000,201403,desvio,4660
12,Corrientes,226000,201403,cv,2.1
12,Corrientes,242000,201403,desvio,4770
12,Corrientes,242000,201403,cv,2
12,Corrientes,258000,201403,desvio,4876
12,Corrientes,258000,201403,cv,1.9
15,Formosa,3000,201403,desvio,764
15,Formosa,3000,201403,cv,25.5
15,Formosa,4000,201403,desvio,859
15,Formosa,4000,201403,cv,21.5
15,Formosa,5000,201403,desvio,941
15,Formosa,5000,201403,cv,18.8
15,Formosa,6000,201403,desvio,1014
15,Formosa,6000,201403,cv,16.9
15,Formosa,7000,201403,desvio,1079
15,Formosa,7000,201403,cv,15.4
15,Formosa,8000,201403,desvio,1140
15,Formosa,8000,201403,cv,14.2
15,Formosa,10000,201403,desvio,1248
15,Formosa,10000,201403,cv,12.5
15,Formosa,12000,201403,desvio,1344
15,Formosa,12000,201403,cv,11.2
15,Formosa,15000,201403,desvio,1472
15,Formosa,15000,201403,cv,9.8
15,Formosa,18000,201403,desvio,1586
15,Formosa,18000,201403,cv,8.8
15,Formosa,21000,201403,desvio,1689
15,Formosa,21000,201403,cv,8
15,Formosa,26000,201403,desvio,1843
15,Formosa,26000,201403,cv,7.1
15,Formosa,31000,201403,desvio,1979
15,Formosa,31000,201403,cv,6.4
15,Formosa,41000,201403,desvio,2218
15,Formosa,41000,201403,cv,5.4
15,Formosa,51000,201403,desvio,2425
15,Formosa,51000,201403,cv,4.8
15,Formosa,61000,201403,desvio,2608
15,Formosa,61000,201403,cv,4.3
15,Formosa,76000,201403,desvio,2853
15,Formosa,76000,201403,cv,3.8
15,Formosa,91000,201403,desvio,3070
15,Formosa,91000,201403,cv,3.4
15,Formosa,106000,201403,desvio,3267
15,Formosa,106000,201403,cv,3.1
15,Formosa,121000,201403,desvio,3448
15,Formosa,121000,201403,cv,2.8
15,Formosa,136000,201403,desvio,3617
15,Formosa,136000,201403,cv,2.7
15,Formosa,151000,201403,desvio,3774
15,Formosa,151000,201403,cv,2.5
33,Partidos GBA,40000,201403,desvio,9567
33,Partidos GBA,40000,201403,cv,23.9
33,Partidos GBA,50000,201403,desvio,10408
33,Partidos GBA,50000,201403,cv,20.8
33,Partidos GBA,60000,201403,desvio,11150
33,Partidos GBA,60000,201403,cv,18.6
33,Partidos GBA,70000,201403,desvio,11819
33,Partidos GBA,70000,201403,cv,16.9
33,Partidos GBA,80000,201403,desvio,12431
33,Partidos GBA,80000,201403,cv,15.5
33,Partidos GBA,90000,201403,desvio,12996
33,Partidos GBA,90000,201403,cv,14.4
33,Partidos GBA,100000,201403,desvio,13524
33,Partidos GBA,100000,201403,cv,13.5
33,Partidos GBA,120000,201403,desvio,14489
33,Partidos GBA,120000,201403,cv,12.1
33,Partidos GBA,140000,201403,desvio,15358
33,Partidos GBA,140000,201403,cv,11
33,Partidos GBA,160000,201403,desvio,16152
33,Partidos GBA,160000,201403,cv,10.1
33,Partidos GBA,180000,201403,desvio,16887
33,Partidos GBA,180000,201403,cv,9.4
33,Partidos GBA,200000,201403,desvio,17573
33,Partidos GBA,200000,201403,cv,8.8
33,Partidos GBA,220000,201403,desvio,18218
33,Partidos GBA,220000,201403,cv,8.3
33,Partidos GBA,260000,201403,desvio,19405
33,Partidos GBA,260000,201403,cv,7.5
33,Partidos GBA,320000,201403,desvio,20988
33,Partidos GBA,320000,201403,cv,6.6
33,Partidos GBA,380000,201403,desvio,22396
33,Partidos GBA,380000,201403,cv,5.9
33,Partidos GBA,480000,201403,desvio,24463
33,Partidos GBA,480000,201403,cv,5.1
33,Partidos GBA,580000,201403,desvio,26276
33,Partidos GBA,580000,201403,cv,4.5
33,Partidos GBA,680000,201403,desvio,27904
33,Partidos GBA,680000,201403,cv,4.1
33,Partidos GBA,780000,201403,desvio,29389
33,Partidos GBA,780000,201403,cv,3.8
33,Partidos GBA,880000,201403,desvio,30759
33,Partidos GBA,880000,201403,cv,3.5
33,Partidos GBA,980000,201403,desvio,32036
33,Partidos GBA,980000,201403,cv,3.3
33,Partidos GBA,1230000,201403,desvio,34908
33,Partidos GBA,1230000,201403,cv,2.8
33,Partidos GBA,1480000,201403,desvio,37436
33,Partidos GBA,1480000,201403,cv,2.5
33,Partidos GBA,1730000,201403,desvio,39710
33,Partidos GBA,1730000,201403,cv,2.3
33,Partidos GBA,1980000,201403,desvio,41788
33,Partidos GBA,1980000,201403,cv,2.1
33,Partidos GBA,2230000,201403,desvio,43708
33,Partidos GBA,2230000,201403,cv,2
33,Partidos GBA,2480000,201403,desvio,45498
33,Partidos GBA,2480000,201403,cv,1.8
33,Partidos GBA,2730000,201403,desvio,47180
33,Partidos GBA,2730000,201403,cv,1.7
33,Partidos GBA,3030000,201403,desvio,49075
33,Partidos GBA,3030000,201403,cv,1.6
33,Partidos GBA,3630000,201403,desvio,52542
33,Partidos GBA,3630000,201403,cv,1.4
33,Partidos GBA,4230000,201403,desvio,55669
33,Partidos GBA,4230000,201403,cv,1.3
19,Jujuy - Palpalá,4000,201403,desvio,1091
19,Jujuy - Palpalá,4000,201403,cv,27.3
19,Jujuy - Palpalá,5000,201403,desvio,1167
19,Jujuy - Palpalá,5000,201403,cv,23.3
19,Jujuy - Palpalá,6000,201403,desvio,1233
19,Jujuy - Palpalá,6000,201403,cv,20.6
19,Jujuy - Palpalá,7000,201403,desvio,1292
19,Jujuy - Palpalá,7000,201403,cv,18.5
19,Jujuy - Palpalá,8000,201403,desvio,1345
19,Jujuy - Palpalá,8000,201403,cv,16.8
19,Jujuy - Palpalá,9000,201403,desvio,1394
19,Jujuy - Palpalá,9000,201403,cv,15.5
19,Jujuy - Palpalá,10000,201403,desvio,1439
19,Jujuy - Palpalá,10000,201403,cv,14.4
19,Jujuy - Palpalá,11000,201403,desvio,1481
19,Jujuy - Palpalá,11000,201403,cv,13.5
19,Jujuy - Palpalá,12000,201403,desvio,1520
19,Jujuy - Palpalá,12000,201403,cv,12.7
19,Jujuy - Palpalá,13000,201403,desvio,1557
19,Jujuy - Palpalá,13000,201403,cv,12
19,Jujuy - Palpalá,14000,201403,desvio,1593
19,Jujuy - Palpalá,14000,201403,cv,11.4
19,Jujuy - Palpalá,16000,201403,desvio,1658
19,Jujuy - Palpalá,16000,201403,cv,10.4
19,Jujuy - Palpalá,19000,201403,desvio,1746
19,Jujuy - Palpalá,19000,201403,cv,9.2
19,Jujuy - Palpalá,22000,201403,desvio,1825
19,Jujuy - Palpalá,22000,201403,cv,8.3
19,Jujuy - Palpalá,25000,201403,desvio,1897
19,Jujuy - Palpalá,25000,201403,cv,7.6
